CAT|CATEGORIA|DIV|DIVISION|GRP|GRUPO|CLA|CLASE|SCL|SUBCLASE|SECTOR
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01111|CULTIVO DE CEREALES|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01112|CULTIVO DE OLEAGINOSAS|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01113|CULTIVOS SACARINOS|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01114|CULTIVO DE PLANTAS PARA LA OBTENCION DE FIBRAS|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01115|CULTIVO FORRAJERO (PARA EL PASTOREO O LA HENIFICACION, FORRAJE VERDE O ENSILAJE)|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0111|CULTIVO DE CEREALES Y OTROS CULTIVOS|01119|OTROS CULTIVOS NCP|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0112|CULTIVO DE HORTALIZAS, LEGUMBRES, FLORES Y PLANTAS ORNAMENTALES|01121|CULTIVO DE HORTALIZAS DE RAIZ Y TUBERCULO|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0112|CULTIVO DE HORTALIZAS, LEGUMBRES, FLORES Y PLANTAS ORNAMENTALES|01122|CULTIVO DE HORTALIZAS DE FLOR Y FRUTO|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0112|CULTIVO DE HORTALIZAS, LEGUMBRES, FLORES Y PLANTAS ORNAMENTALES|01123|CULTIVO DE HORTALIZAS DE HOJA|PRODUCTIVO
A|AGRICULTURA Y GANADERIA|01|AGRICULTURA, GANADERIA Y SERVICIOS CONEXOS|011|CULTIVOS Y PRODUCCION AGRICOLA EN GENERAL|0112|CULTIVO DE HORTALIZAS, LEGUMBRES, FLORES Y PLANTAS ORNAMENTALES|01124|CULTIVO DE HORTALIZAS DE BULBO|PRODUCTIVO
